,name,rating,reviews,type,hq,old,employees
9837,Corrtech Energy,4.3,27 Reviews,Private,Ahmedabad + 2 more,20 years old,
9838,Shreeji Construction,3.7,27 Reviews,Private,Jaipur + 11 more,,
9839,Brahmani River Pellets,3.6,27 Reviews,Mumbai + 3 more,,,
9840,OASYS Tech Solutions,2.9,27 Reviews,Private,Jajpur,51-200 employees,
9841,Sicgil Industrial Gases,4.3,27 Reviews,Private,Chennai + 3 more,24 years old,201-500 employees
9842,Gj Solutions,3.7,27 Reviews,Hyderabad,,,
9843,PROWIZ MANSYSTEMS,3.0,27 Reviews,Private,Noida + 5 more,1-50 employees,
9844,Televisory,2.4,27 Reviews,Gurgaon,,,
9845,Sd Biosensor Healthcare,4.1,27 Reviews,Mumbai + 6 more,,,
9846,Avvashya Cci Logistics,3.7,27 Reviews,Pune + 10 more,,,
9847,Metro Retail.PVT.LTD.,3.7,27 Reviews,Private,Durgapur + 7 more,1001-5000 employees,
9848,Nalanda Learning Systems,2.6,27 Reviews,Howrah + 2 more,,,
9849,Harsoria Healthcare,3.9,27 Reviews,Private,Gurgaon + 2 more,201-500 employees,
9850,QUALITY EVALUATION AND S...,3.8,27 Reviews,Private,Bangalore + 6 more,201-500 employees,
9851,Disposafe Health And Lif...,2.9,27 Reviews,Private,Delhi,,
9852,Piano Presitel,3.9,27 Reviews,Mumbai,,,
9853,Nayati Healthcare,3.5,27 Reviews,Nagpur + 5 more,,,
9854,Government Of Tamilnadu,4.5,27 Reviews,Private,Chennai + 8 more,,
9855,Indian Explosives,4.4,27 Reviews,Visakhapatnam + 3 more,,,
9856,BTW India,3.7,27 Reviews,New Delhi + 1 more,,,
9857,Mehta Engineers,3.7,27 Reviews,Private,Ludhiana + 6 more,,
9858,Pena4 Tech Solutions,3.4,27 Reviews,Private,Visakhapatnam,22 years old,51-200 employees
9859,APPLE HOSPITAL,3.9,27 Reviews,Surat + 3 more,,,
9860,Digital Aptech,3.8,27 Reviews,Private,Calcutta,1-50 employees,
9861,DM WIMS Medical College ...,4.1,27 Reviews,Chennai,,,
9862,HiGlance Laboratories,3.3,27 Reviews,Private,New Delhi + 5 more,201-500 employees,
9863,Abdos Labtech,4.1,27 Reviews,Chennai + 2 more,,,
9864,VVC MOTORS,4.1,27 Reviews,Miryalaguda + 1 more,,,
9865,Lumax Mannoh Allied Tech...,4.0,27 Reviews,Private,New Delhi,1001-5000 employees,
9866,Digi1 Snehanjali Retail,3.9,27 Reviews,Pune + 5 more,,,
9867,Origin To Future,3.9,27 Reviews,Private,Plano + 7 more,201-500 employees,
9868,Watermelon Management Se...,4.3,27 Reviews,Private,New Delhi + 10 more,1-50 employees,
9869,Nicco Engineering Servic...,3.7,27 Reviews,Private,Bareilly + 6 more,201-500 employees,
9870,Tirupati Life Sciences,4.2,27 Reviews,Solan,,,
